<<<<<<< HEAD
Ticker,Raw Start Date,Raw End Date,Raw Missing %,Processed Start Date,Processed End Date,Processed Missing %
AAPL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ABNB_ohlcv,2020-12-10,2023-12-29,0.00%,2020-12-10,2023-12-29,0.00%
ADBE_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ADI_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ADP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ADSK_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AEP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AMAT_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AMD_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AMGN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AMZN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
ASML_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AVGO_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
AZN_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
BABA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
BIDU_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
BIIB_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
BKNG_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
BKR_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CDNS_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CEG_ohlcv,2022-01-19,2023-12-29,0.00%,2022-01-19,2023-12-29,0.00%
CHTR_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CMCSA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
COST_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CPRT_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CRWD_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CSCO_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CSGP_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CSX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CTAS_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
CTSH_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
DDOG_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
DLTR_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
DXCM_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
EA_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
EXC_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
FAST_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
FTNT_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
GEHC_ohlcv,2022-12-15,2023-12-29,0.00%,2022-12-15,2023-12-29,0.00%
GILD_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
GOOGL_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
GOOG_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
HON_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
IDXX_ohlcv,2020-01-02,2023-12-29,0.00%,2020-01-02,2023-12-29,0.00%
